review,label
"['one', 'review', 'mention', 'watch', '1', 'oz', 'episod', 'hook', 'right', 'exactli', 'happen', 'me', 'first', 'thing', 'struck', 'oz', 'brutal', 'unflinch', 'scene', 'violenc', 'set', 'right', 'word', 'go', 'trust', 'show', 'faint', 'heart', 'timid', 'show', 'pull', 'punch', 'regard', 'drug', 'sex', 'violenc', 'hardcor', 'classic', 'use', 'word', 'call', 'oz', 'nicknam', 'given', 'oswald', 'maximum', 'secur', 'state', 'penitentari', 'focus', 'mainli', 'emerald', 'citi', 'experiment', 'section', 'prison', 'cell', 'glass', 'front', 'face', 'inward', 'privaci', 'high', 'agenda', 'em', 'citi', 'home', 'mani', 'aryan', 'muslim', 'gangsta', 'latino', 'christian', 'italian', 'irish', 'scuffl', 'death', 'stare', 'dodgi', 'deal', 'shadi', 'agreement', 'never', 'far', 'away', 'would', 'say', 'main', 'appeal', 'show', 'due', 'fact', 'goe', 'show', 'would', 'dare', 'forget', 'pretti', 'pictur', 'paint', 'mainstream', 'audienc', 'forget', 'charm', 'forget', 'romanc', 'oz', 'mess', 'around', 'first', 'episod', 'ever', 'saw', 'struck', 'nasti', 'surreal', 'could', 'say', 'readi', 'watch', 'develop', 'tast', 'oz', 'got', 'accustom', 'high', 'level', 'graphic', 'violenc', 'violenc', 'injustic', 'crook', 'guard', 'sold', 'nickel', 'inmat', 'kill', 'order', 'get', 'away', 'well', 'manner', 'middl', 'class', 'inmat', 'turn', 'prison', 'bitch', 'due', 'lack', 'street', 'skill', 'prison', 'experi', 'watch', 'oz', 'may', 'becom', 'comfort', 'uncomfort', 'view', 'that', 'get', 'touch', 'darker', 'side']",positive
"['wonder', 'littl', 'product', 'film', 'techniqu', 'unassum', 'oldtimebbc', 'fashion', 'give', 'comfort', 'sometim', 'discomfort', 'sens', 'realism', 'entir', 'piec', 'actor', 'extrem', 'well', 'chosen', 'michael', 'sheen', 'got', 'polari', 'voic', 'pat', 'truli', 'see', 'seamless', 'edit', 'guid', 'refer', 'william', 'diari', 'entri', 'well', 'worth', 'watch', 'terrificli', 'written', 'perform', 'piec', 'master', 'product', 'one', 'great', 'master', 's', 'comedi', 'life', 'realism', 'realli', 'come', 'home', 'littl', 'thing', 'fantasi', 'guard', 'rather', 'use', 'tradit', 'dream', 'techniqu', 'remain', 'solid', 'disappear', 'play', 'knowledg', 'sens', 'particularli', 'scene', 'concern', 'orton', 'halliwel', 'set', 'particularli', 'flat', 'halliwel', 's', 'mural', 'decor', 'everi', 'surfac', 'terribl', 'well', 'done']",positive
"['thought', 'wonder', 'way', 'spend', 'time', 'hot', 'summer', 'weekend', 'sit', 'air', 'condit', 'theater', 'watch', 'lightheart', 'comedi', 'plot', 'simplist', 'dialogu', 'witti', 'charact', 'likabl', 'even', 'well', 'bread', 'suspect', 'serial', 'killer', 'may', 'disappoint', 'realiz', 'match', 'point', '2', 'risk', 'addict', 'thought', 'proof', 'woodi', 'allen', 'still', 'fulli', 'control', 'style', 'mani', 'us', 'grown', 'love', 'd', 'laugh', 'one', 'woodi', 's', 'comedi', 'year', 'dare', 'say', 'decad', 've', 'never', 'impress', 'scarlet', 'johanson', 'manag', 'tone', 'sexi', 'imag', 'jump', 'right', 'averag', 'spirit', 'young', 'woman', 'may', 'crown', 'jewel', 'career', 'wittier', 'devil', 'wear', 'prada', 'interest', 'superman', 'great', 'comedi', 'go', 'see', 'friend']",positive
"['basic', 's', 'famili', 'littl', 'boy', 'jake', 'think', 's', 'zombi', 'closet', 'parent', 'fight', 'time', 'movi', 'slower', 'soap', 'opera', 'suddenli', 'jake', 'decid', 'becom', 'rambo', 'kill', 'zombi', 'ok', 'first', 're', 'go', 'make', 'film', 'must', 'decid', 'thriller', 'drama', 'drama', 'movi', 'watchabl', 'parent', 'divorc', 'argu', 'like', 'real', 'life', 'jake', 'closet', 'total', 'ruin', 'film', 'expect', 'see', 'boogeyman', 'similar', 'movi', 'instead', 'watch', 'drama', 'meaningless', 'thriller', 'spot', '3', '10', 'well', 'play', 'parent', 'descent', 'dialog', 'shot', 'jake', 'ignor']",negative
"['petter', 'mattei', 's', 'love', 'time', 'money', 'visual', 'stun', 'film', 'watch', 'mr', 'mattei', 'offer', 'us', 'vivid', 'portrait', 'human', 'relat', 'movi', 'seem', 'tell', 'us', 'money', 'power', 'success', 'peopl', 'differ', 'situat', 'encount', 'variat', 'arthur', 'schnitzler', 's', 'play', 'theme', 'director', 'transfer', 'action', 'present', 'time', 'new', 'york', 'differ', 'charact', 'meet', 'connect', 'one', 'connect', 'one', 'way', 'anoth', 'next', 'person', 'one', 'seem', 'know', 'previou', 'point', 'contact', 'stylishli', 'film', 'sophist', 'luxuri', 'look', 'taken', 'see', 'peopl', 'live', 'world', 'live', 'habitat', 'thing', 'one', 'get', 'soul', 'pictur', 'differ', 'stage', 'loneli', 'one', 'inhabit', 'big', 'citi', 'exactli', 'best', 'place', 'human', 'relat', 'find', 'sincer', 'fulfil', 'one', 'discern', 'case', 'peopl', 'encount', 'act', 'good', 'mr', 'mattei', 's', 'direct', 'steve', 'buscemi', 'rosario', 'dawson', 'carol', 'kane', 'michael', 'imperioli', 'adrian', 'grenier', 'rest', 'talent', 'cast', 'make', 'charact', 'come', 'aliv', 'wish', 'mr', 'mattei', 'good', 'luck', 'await', 'anxious', 'next', 'work']",positive
"['probabl', 'alltim', 'favorit', 'movi', 'stori', 'selfless', 'sacrific', 'dedic', 'nobl', 'caus', 's', 'preachi', 'bore', 'never', 'get', 'old', 'despit', 'seen', '15', 'time', 'last', '25', 'year', 'paul', 'luka', 'perform', 'bring', 'tear', 'eye', 'bett', 'davi', 'one', 'truli', 'sympathet', 'role', 'delight', 'kid', 'grandma', 'say', 'like', 'dressedup', 'midget', 'children', 'make', 'fun', 'watch', 'mother', 's', 'slow', 'awaken', 's', 'happen', 'world', 'roof', 'believ', 'startl', 'dozen', 'thumb', 'd', 'movi']",positive
"['sure', 'would', 'like', 'see', 'resurrect', 'date', 'seahunt', 'seri', 'tech', 'today', 'would', 'bring', 'back', 'kid', 'excit', 'mei', 'grew', 'black', 'white', 'tv', 'seahunt', 'gunsmok', 'hero', 's', 'everi', 'weekyou', 'vote', 'comeback', 'new', 'sea', 'huntw', 'need', 'chang', 'pace', 'tv', 'would', 'work', 'world', 'water', 'adventureoh', 'way', 'thank', 'outlet', 'like', 'view', 'mani', 'viewpoint', 'tv', 'mani', 'moviesso', 'ole', 'way', 'believ', 've', 'got', 'wan', 'na', 'saywould', 'nice', 'read', 'plu', 'point', 'sea', 'huntif', 'rhyme', 'would', '10', 'line', 'would', 'let', 'submit', 'leav', 'doubt', 'quit', 'must', 'go', 'let']",positive
"['show', 'amaz', 'fresh', 'innov', 'idea', '70', 's', 'first', 'air', 'first', '7', '8', 'year', 'brilliant', 'thing', 'drop', '1990', 'show', 'realli', 'funni', 'anymor', 's', 'continu', 'declin', 'complet', 'wast', 'time', 'today', 's', 'truli', 'disgrac', 'far', 'show', 'fallen', 'write', 'pain', 'bad', 'perform', 'almost', 'bad', 'mildli', 'entertain', 'respit', 'guesthost', 'show', 'probabl', 'would', 'still', 'air', 'find', 'hard', 'believ', 'creator', 'handselect', 'origin', 'cast', 'also', 'chose', 'band', 'hack', 'follow', 'one', 'recogn', 'brillianc', 'see', 'fit', 'replac', 'mediocr', 'felt', 'must', 'give', '2', 'star', 'respect', 'origin', 'cast', 'made', 'show', 'huge', 'success', 'show', 'aw', 'ca', 'believ', 's', 'still', 'air']",negative
"['encourag', 'posit', 'comment', 'film', 'look', 'forward', 'watch', 'film', 'bad', 'mistak', 've', 'seen', '950', 'film', 'truli', 'one', 'worst', 's', 'aw', 'almost', 'everi', 'way', 'edit', 'pace', 'storylin', 'act', 'soundtrack', 'film', 's', 'song', 'lame', 'countri', 'tune', 'play', 'less', 'four', 'time', 'film', 'look', 'cheap', 'nasti', 'bore', 'extrem', 'rare', 'happi', 'see', 'end', 'credit', 'film', 'thing', 'prevent', 'give', '1score', 'harvey', 'keitel', 'far', 'best', 'perform', 'least', 'seem', 'make', 'bit', 'effort', 'one', 'keitel', 'obsess']",negative
"['like', 'origin', 'gut', 'wrench', 'laughter', 'like', 'movi', 'young', 'old', 'love', 'movi', 'hell', 'even', 'mom', 'like', 'it', 'great', 'camp']",positive
